Rank,Player,Team,Position,Goals,Assists,Minutes,Assists_per_90
190,Nicolas Raskin,BEL,MF,0,2,396,0.4545454545454546
192,Patrick Berg,NOR,MF,0,2,519,0.3468208092485549
193,Dani Olmo,ESP,FW,0,2,535,0.33644859813084116
207,Ernest Nuamah,GHA,FW,0,1,109,0.8256880733944955
209,Haissem Hassan,EGY,FW,0,1,138,0.6521739130434783
210,Kevin Rodriguez,ECU,FW,0,1,146,0.6164383561643836
211,Juan Quintero,COL,MF,0,1,146,0.6164383561643836
212,Alexandr Sojka,CZE,MF,0,1,155,0.5806451612903226
213,Nico Williams,ESP,FW,0,1,159,0.5660377358490566
214,Orkun Kokcu,TUR,MF,0,1,172,0.5232558139534884
218,Ivan Basic,BIH,MF,0,1,200,0.45
219,Michael Gregoritsch,AUT,FW,0,1,207,0.43478260869565216
220,Lucas Bergvall,SWE,MF,0,1,207,0.43478260869565216
221,Tijjani Reijnders,NED,MF,0,1,211,0.4265402843601896
222,Paul Okon Engstler,AUS,MF,0,1,214,0.4205607476635514
224,Chemsdine Talbi,MAR,MF,0,1,217,0.4147465437788018
226,Edmilson Junior,QAT,FW,0,1,228,0.39473684210526316
229,Akmal Mozgovoy,UZB,MF,0,1,243,0.3703703703703704
230,Eberechi Eze,ENG,MF,0,1,247,0.3643724696356275
231,Christian Pulisic,USA,FW,0,1,253,0.3557312252964427
232,Lucas Paqueta,BRA,MF,0,1,255,0.3529411764705882
233,Xaver Schlager,AUT,MF,0,1,265,0.33962264150943394
234,Nicolas Jackson,SEN,FW,0,1,271,0.33210332103321033
235,Amir Alammari,IRQ,MF,0,1,279,0.3225806451612903
236,Lamine Camara,SEN,MF,0,1,287,0.313588850174216
238,Mateo Kovacic,CRO,MF,0,1,293,0.30716723549488056
239,Ritsu Doan,JPN,MF,0,1,295,0.30508474576271183
240,Lee Kangin,KOR,MF,0,1,300,0.30000000000000004
243,Ibrahim Sangare,CIV,MF,0,1,305,0.29508196721311475
244,Noor Alrawabdeh,JOR,MF,0,1,309,0.29126213592233013
245,Nico Gonzalez,ARG,MF,0,1,324,0.2777777777777778
246,Rayan,BRA,FW,0,1,327,0.27522935779816515
250,Luka Modric,CRO,MF,0,1,360,0.25
251,Yan Diomande,CIV,FW,0,1,361,0.24930747922437674
252,Luis Suarez,COL,FW,0,1,365,0.24657534246575344
253,Ryan Mendes,CPV,FW,0,1,366,0.2459016393442623
255,Pedro Neto,POR,FW,0,1,381,0.23622047244094488
258,Erik Lira,MEX,MF,0,1,391,0.23017902813299235
259,Aurelien Tchouameni,FRA,MF,0,1,407,0.22113022113022113
260,Pedro Vite,ECU,MF,0,1,407,0.22113022113022113
262,Morgan Rogers,ENG,MF,0,1,411,0.21897810218978103
263,Konrad Laimer,AUT,MF,0,1,412,0.21844660194174756
265,Sadio Mane,SEN,FW,0,1,421,0.2137767220902613
267,Bruno Fernandes,POR,MF,0,1,471,0.19108280254777069
269,Marawan Attia,EGY,MF,0,1,495,0.18181818181818182
272,Rodrigo De Paul,ARG,MF,0,1,539,0.16697588126159554
276,Adrien Rabiot,FRA,MF,0,1,657,0.136986301369863
277,Elliot Anderson,ENG,MF,0,1,713,0.12622720897615708
789,Timothy Weah,USA,FW,0,0,90,0.0
791,Garry Rodrigues,CPV,MF,0,0,90,0.0
793,Ajdin Hrustic,AUS,FW,0,0,90,0.0
794,Odiljon Xamrobekov,UZB,MF,0,0,90,0.0
795,Mohamed Manai,QAT,FW,0,0,91,0.0
797,Gilson Benchimol,CPV,FW,0,0,93,0.0
800,Bazoumana Toure,CIV,FW,0,0,94,0.0
801,Pape Matar Sarr,SEN,MF,0,0,94,0.0
802,Antonio Sanabria,PAR,FW,0,0,95,0.0
803,Fabinho,BRA,MF,0,0,95,0.0
804,Armin Gigovic,BIH,MF,0,0,95,0.0
806,Oguz Aydin,TUR,FW,0,0,97,0.0
808,Sebastian Tounekti,TUN,MF,0,0,98,0.0
815,Exequiel Palacios,ARG,MF,0,0,100,0.0
827,Zeki Amdouni,SUI,FW,0,0,101,0.0
828,Florian Grillitsch,AUT,MF,0,0,102,0.0
831,Yunus Akgun,TUR,FW,0,0,103,0.0
832,Seko Fofana,CIV,MF,0,0,103,0.0
833,Ryan Thomas,NZL,MF,0,0,103,0.0
835,Mohammad Ghorbani,IRN,MF,0,0,104,0.0
843,Yusuf Abdurisag,QAT,FW,0,0,105,0.0
845,Carney Chukwuemeka,AUT,MF,0,0,108,0.0
846,Shahriyar Moghanloo,IRN,FW,0,0,108,0.0
847,Jhon Cordoba,COL,FW,0,0,108,0.0
849,Ben Old,NZL,MF,0,0,112,0.0
850,Karim Boudiaf,QAT,MF,0,0,114,0.0
851,Ryan Christie,SCO,MF,0,0,114,0.0
853,Anis Hadj Moussa,ALG,FW,0,0,114,0.0
854,Marco Pasalic,CRO,FW,0,0,114,0.0
857,Nicolas De La Cruz,URU,MF,0,0,115,0.0
858,Gustavo Caballero,PAR,MF,0,0,117,0.0
859,Jorgen Strand Larsen,NOR,FW,0,0,117,0.0
860,Santiago Gimenez,MEX,FW,0,0,117,0.0
863,Salih Ozcan,TUR,MF,0,0,120,0.0
864,Dostonbek Khamdamov,UZB,MF,0,0,120,0.0
865,Joao Paulo,CPV,MF,0,0,121,0.0
866,Samir El Mourabet,MAR,MF,0,0,121,0.0
867,Leon Goretzka,GER,MF,0,0,122,0.0
868,Hwang Heechan,KOR,MF,0,0,123,0.0
870,Elias Saad,TUN,FW,0,0,124,0.0
872,Lee Jaesung,KOR,MF,0,0,125,0.0
873,Igor Matanovic,CRO,FW,0,0,125,0.0
874,Jacob Shaffelburg,CAN,MF,0,0,126,0.0
875,Ramiz Zerrouki,ALG,MF,0,0,126,0.0
877,Zaid Ismael,IRQ,MF,0,0,126,0.0
878,Amadou Onana,BEL,MF,0,0,127,0.0
879,Elye Wahi,CIV,FW,0,0,127,0.0
880,Warren Zaire Emery,FRA,MF,0,0,128,0.0
881,Louicius Deedson,HAI,FW,0,0,129,0.0
882,Jayden Adams,RSA,MF,0,0,130,0.0
884,Bernardo Silva,POR,MF,0,0,133,0.0
887,Lenny Joseph,HAI,FW,0,0,134,0.0
888,Ahmed Qasem,IRQ,FW,0,0,135,0.0
889,Kamaldeen Sulemana,GHA,FW,0,0,136,0.0
891,Lukas Provod,CZE,MF,0,0,137,0.0
892,Inaki Williams,GHA,FW,0,0,140,0.0
893,Assim Madibo,QAT,MF,0,0,140,0.0
894,Azizjon Ganiev,UZB,MF,0,0,140,0.0
895,Ismael Gharbi,TUN,MF,0,0,142,0.0
897,Hicham Boudaoui,ALG,MF,0,0,143,0.0
899,Raphinha,BRA,FW,0,0,143,0.0
900,Kerem Akturkoglu,TUR,FW,0,0,143,0.0
901,Kenny Mclean,SCO,MF,0,0,144,0.0
902,Ali Jasim,IRQ,FW,0,0,144,0.0
903,Teun Koopmeiners,NED,MF,0,0,145,0.0
904,Endrick,BRA,FW,0,0,146,0.0
905,Jesper Karlstrom,SWE,MF,0,0,147,0.0
907,Jovane Cabral,CPV,MF,0,0,148,0.0
909,Benjamin Nygren,SWE,MF,0,0,149,0.0
911,Tomas Soucek,CZE,MF,0,0,152,0.0
912,Mahmoud Almardi,JOR,FW,0,0,152,0.0
913,Ismail Yuksek,TUR,MF,0,0,153,0.0
919,Willy Semedo,CPV,MF,0,0,156,0.0
920,Mario Pasalic,CRO,MF,0,0,158,0.0
921,Che Adams,SCO,FW,0,0,160,0.0
923,Ismael Kone,CAN,MF,0,0,160,0.0
924,Rani Khedira,TUN,MF,0,0,162,0.0
925,Abdul Fatawu,GHA,FW,0,0,163,0.0
926,Ahmed Fathy,QAT,MF,0,0,163,0.0
927,Nathanael Mbuku,COD,MF,0,0,163,0.0
928,Francisco Conceicao,POR,FW,0,0,163,0.0
929,Odeh Fakhoury,JOR,FW,0,0,163,0.0
932,Elisha Owusu,GHA,MF,0,0,166,0.0
935,Musab Aljuwayr,KSA,MF,0,0,167,0.0
936,Frantzdy Pierrot,HAI,FW,0,0,168,0.0
937,Rayan Cherki,FRA,MF,0,0,169,0.0
939,Gabriel Avalos,PAR,FW,0,0,170,0.0
942,Adam Hlozek,CZE,FW,0,0,172,0.0
943,Lukas Cerv,CZE,MF,0,0,172,0.0
946,Callum Mccowatt,NZL,MF,0,0,173,0.0
948,Sofyan Amrabat,MAR,MF,0,0,175,0.0
949,Richard Rios,COL,MF,0,0,175,0.0
950,Jose Fajardo,PAN,FW,0,0,176,0.0
951,Liam Millar,CAN,MF,0,0,176,0.0
952,Michel Aebischer,SUI,MF,0,0,176,0.0
953,Edo Kayembe,COD,MF,0,0,177,0.0
957,Cristian Volpato,AUS,FW,0,0,180,0.0
959,Nuno Da Costa,CPV,MF,0,0,180,0.0
962,Iqraam Rayners,RSA,FW,0,0,182,0.0
963,Darwin Nunez,URU,FW,0,0,182,0.0
964,Mohamed Toure,AUS,FW,0,0,182,0.0
967,Lawrence Shankland,SCO,FW,0,0,183,0.0
968,Son Heungmin,KOR,FW,0,0,183,0.0
969,Relebohile Mofokeng,RSA,FW,0,0,184,0.0
972,Laros Duarte,CPV,MF,0,0,187,0.0
976,Dodi Lukebakio,BEL,FW,0,0,194,0.0
977,Edin Dzeko,BIH,FW,0,0,196,0.0
978,Donyell Malen,NED,FW,0,0,197,0.0
979,Manuel Ugarte,URU,MF,0,0,197,0.0
982,Dailon Livramento,CPV,FW,0,0,198,0.0
983,Patrik Schick,CZE,FW,0,0,199,0.0
986,Ali Alhamadi,IRQ,FW,0,0,201,0.0
990,Abdullah Alkhaibari,KSA,MF,0,0,203,0.0
993,Ben Gannon Doak,SCO,FW,0,0,204,0.0
1000,Josue Casimir,HAI,FW,0,0,208,0.0
1001,Hakan Calhanoglu,TUR,MF,0,0,208,0.0
1004,Pavel Sulc,CZE,FW,0,0,209,0.0
1005,Zidane Iqbal,IRQ,MF,0,0,210,0.0
1006,Cedric Bakambu,COD,FW,0,0,210,0.0
1009,Federico Vinas,URU,FW,0,0,211,0.0
1011,Paik Seungho,KOR,MF,0,0,216,0.0
1012,Damian Bobadilla,PAR,MF,0,0,216,0.0
1013,Giuliano Simeone,ARG,FW,0,0,217,0.0
1014,Joao Felix,POR,FW,0,0,218,0.0
1015,Ngalayel Mukau,COD,MF,0,0,220,0.0
1017,Ivan Sunjic,BIH,MF,0,0,221,0.0
1019,Ao Tanaka,JPN,MF,0,0,225,0.0
1020,Brian Gutierrez,MEX,MF,0,0,226,0.0
1021,Sarpreet Singh,NZL,MF,0,0,227,0.0
1022,Saman Ghoddos,IRN,MF,0,0,228,0.0
1023,Nasser Aldawsari,KSA,MF,0,0,230,0.0
1024,Pathe Ciss,SEN,MF,0,0,232,0.0
1028,Gilberto Mora,MEX,MF,0,0,236,0.0
1030,Ruben Providence,HAI,FW,0,0,237,0.0
1032,Juan Manuel Sanabria,URU,MF,0,0,237,0.0
1037,Christ Inao Oulai,CIV,MF,0,0,240,0.0
1038,Evidence Makgopa,RSA,FW,0,0,241,0.0
1040,Ricardo Pepi,USA,FW,0,0,247,0.0
1041,Julian Ryerson,NOR,FW,0,0,248,0.0
1042,Kenan Yildiz,TUR,FW,0,0,249,0.0
1043,Juergen Locadia,CUW,FW,0,0,250,0.0
1044,Jose Luis Rodriguez,PAN,MF,0,0,251,0.0
1045,Sphephelo Sithole,RSA,MF,0,0,252,0.0
1047,Amar Memic,BIH,MF,0,0,254,0.0
1048,Jackson Irvine,AUS,MF,0,0,255,0.0
1050,Mohamed Kanno,KSA,MF,0,0,256,0.0
1053,Anis Slimane,TUN,MF,0,0,257,0.0
1054,Ali Ahmed,CAN,FW,0,0,258,0.0
1055,Ange Yoan Bonny,CIV,FW,0,0,258,0.0
1057,Ibrahim Bayesh,IRQ,MF,0,0,259,0.0
1059,Hamdy Fathy,EGY,MF,0,0,260,0.0
1061,Feras Albrikan,KSA,FW,0,0,262,0.0
1062,Esmir Bajraktarevic,BIH,FW,0,0,262,0.0
1063,Cristian Martinez,PAN,MF,0,0,264,0.0
1064,Benjamin Tahirovic,BIH,MF,0,0,266,0.0
1065,Tahith Chong,CUW,MF,0,0,267,0.0
1067,Ellyes Skhiri,TUN,MF,0,0,267,0.0
1068,Thiago Almada,ARG,FW,0,0,267,0.0
1069,Otabek Shukurov,UZB,MF,0,0,268,0.0
1072,Akram Afif,QAT,FW,0,0,269,0.0
1073,Alan Franco,ECU,MF,0,0,270,0.0
1074,Paul Wanner,AUT,MF,0,0,270,0.0
1075,Edgar Yoel Barcenas,PAN,MF,0,0,272,0.0
1076,Federico Valverde,URU,MF,0,0,272,0.0
1079,Joe Bell,NZL,MF,0,0,275,0.0
1080,Salem Aldawsari,KSA,FW,0,0,276,0.0
1082,Djibril Sow,SUI,MF,0,0,276,0.0
1084,Oscar Bobb,NOR,MF,0,0,279,0.0
1085,Juninho Bacuna,CUW,MF,0,0,280,0.0
1086,Kwasi Sibo,GHA,MF,0,0,282,0.0
1090,Oswin Appollis,RSA,FW,0,0,287,0.0
1092,Danley Jean Jacques,HAI,MF,0,0,288,0.0
1093,Tani Oluwaseyi,CAN,FW,0,0,288,0.0
1095,Jean Ricner Bellegarde,HAI,MF,0,0,292,0.0
1098,Mehdi Taremi,IRN,FW,0,0,293,0.0
1100,Thalente Mbatha,RSA,MF,0,0,293,0.0
1102,Mohannad Abutaha,JOR,MF,0,0,296,0.0
1104,Noah Sadiki,COD,MF,0,0,297,0.0
1105,Saeid Ezatolahi,IRN,MF,0,0,298,0.0
1107,Lee Gihyuk,KOR,MF,0,0,300,0.0
1110,Aleksandar Pavlovic,GER,MF,0,0,300,0.0
1112,Leandro Bacuna,CUW,MF,0,0,300,0.0
1122,Marko Stamenic,NZL,MF,0,0,302,0.0
1130,Miguel Almiron,PAR,MF,0,0,306,0.0
1133,Lewis Ferguson,SCO,MF,0,0,306,0.0
1133,Scott Mctominay,SCO,MF,0,0,306,0.0
1141,Thomas Partey,GHA,MF,0,0,307,0.0
1156,Enner Valencia,ECU,FW,0,0,311,0.0
1159,Rodrigo Bentancur,URU,MF,0,0,313,0.0
1163,Nabil Bentaleb,ALG,MF,0,0,313,0.0
1166,Jamiro Monteiro,CPV,MF,0,0,314,0.0
1167,Noni Madueke,ENG,FW,0,0,315,0.0
1170,Jordan Ayew,GHA,FW,0,0,323,0.0
1171,John Yeboah,ECU,FW,0,0,330,0.0
1172,Diego Gomez,PAR,MF,0,0,332,0.0
1173,Fabian Rieder,SUI,MF,0,0,332,0.0
1175,James Rodriguez,COL,MF,0,0,338,0.0
1176,Jeremy Doku,BEL,FW,0,0,341,0.0
1182,Fredrik Aursnes,NOR,MF,0,0,355,0.0
1184,Samuel Moutoussamy,COD,MF,0,0,360,0.0
1185,Frenkie De Jong,NED,MF,0,0,360,0.0
1186,Nicolas Seiwald,AUT,MF,0,0,361,0.0
1188,Alexander Sorloth,NOR,FW,0,0,363,0.0
1190,Omar Marmoush,EGY,FW,0,0,369,0.0
1196,Ibrahim Maza,ALG,MF,0,0,389,0.0
1198,Denis Zakaria,SUI,MF,0,0,392,0.0
1199,Tyler Adams,USA,MF,0,0,397,0.0
1202,Ermedin Demirovic,BIH,FW,0,0,399,0.0
1204,Tajon Buchanan,CAN,FW,0,0,401,0.0
1209,Fares Chaibi,ALG,MF,0,0,403,0.0
1212,Vitinha,POR,MF,0,0,404,0.0
1215,Aiden Oneill,AUS,MF,0,0,406,0.0
1216,Moises Caicedo,ECU,MF,0,0,407,0.0
1222,Mohanad Lashin,EGY,MF,0,0,409,0.0
1223,Idrissa Gana Gueye,SEN,MF,0,0,411,0.0
1229,Antoine Semenyo,GHA,MF,0,0,414,0.0
1237,Ayyoub Bouaddi,MAR,MF,0,0,425,0.0
1238,Manu Kone,FRA,MF,0,0,426,0.0
1251,Jefferson Lerma,COL,MF,0,0,459,0.0
1259,Bilal El Khannouss,MAR,MF,0,0,501,0.0
1261,Weston Mckennie,USA,MF,0,0,504,0.0
1278,Andres Cubas,PAR,MF,0,0,554,0.0
1281,Sander Berge,NOR,MF,0,0,554,0.0
1284,Leandro Paredes,ARG,MF,0,0,557,0.0
1285,Pedri,ESP,MF,0,0,565,0.0
1288,Neil El Aynaoui,MAR,MF,0,0,634,0.0
1291,Remo Freuler,SUI,MF,0,0,654,0.0
1299,Rodri,ESP,MF,0,0,819,0.0
